BootArgs: Version=2, Revision=0, at 0xffffff8003f4d000
CommandLine: keepsyms=y -v debug=0x14e kext-dev-mode=1
Video: baseAddr=0x90010000, display=2, rowBytes=6912, width=1680, height=1050, depth=32
DevTree: addr=0x3f52000, length=0x12394
Kernel image: kaddr=0x300000, ksize=0x3d07000
EFI Runtime: Mode=64, PageStart=0x3f65 (0x3f65000), PageCount=0x9f, SystemTable=0x3f95f18
MemoryMap: Size=0x1f50, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_code    000000008951b000 - 0000000089520fff 0000000000000006 0000000000000000 000000000000000f
BS_data    0000000089521000 - 0000000089521fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000089522000 - 0000000089522fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089523000 - 0000000089525fff 0000000000000003 0000000000000000 000000000000000f
BS_code    0000000089526000 - 000000008952afff 0000000000000005 0000000000000000 000000000000000f
BS_data    000000008952b000 - 000000008952bfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008952c000 - 000000008953bfff 0000000000000010 0000000000000000 000000000000000f
BS_data    000000008953c000 - 000000008953cfff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008953d000 - 0000000089541fff 0000000000000005 0000000000000000 000000000000000f
BS_data    0000000089542000 - 0000000089549fff 0000000000000008 0000000000000000 000000000000000f
BS_code    000000008954a000 - 0000000089558fff 000000000000000f 0000000000000000 000000000000000f
BS_data    0000000089559000 - 000000008955afff 0000000000000002 0000000000000000 000000000000000f
BS_code    000000008955b000 - 000000008955efff 0000000000000004 0000000000000000 000000000000000f
BS_data    000000008955f000 - 0000000089564fff 0000000000000006 0000000000000000 000000000000000f
available  000000008ae8f000 - 000000008aed7fff 0000000000000049 0000000000000000 000000000000000f
available  000000008aed8000 - 000000008aefefff 0000000000000027 0000000000000000 000000000000000f
available  000000008aeff000 - 000000008afa2fff 00000000000000a4 0000000000000000 000000000000000f
reserved   000000008afa3000 - 000000008affefff 000000000000005c 0000000000000000 000000000000000f
available  000000008afff000 - 000000008affffff 0000000000000001 0000000000000000 000000000000000f
reserved   000000008b000000 - 000000008f9fffff 0000000000004a00 0000000000000000 0000000000000000
MemMapIO   00000000e00f8000 - 00000000e00f8fff 0000000000000001 ffffff8003fbe000 8000000000000000
MemMapIO   00000000fed1c000 - 00000000fed1ffff 0000000000000004 ffffff8003fbf000 8000000000000000
MemMapIO   00000000ffed8000 - 00000000ffefffff 0000000000000028 ffffff8003fc3000 8000000000000000
available  0000000100000000 - 000000046fdfffff 000000000036fe00 0000000000000000 000000000000000f
BS_data    00000000895e2000 - 00000000895e6fff 0000000000000005 0000000000000000 000000000000000f
BS_code    00000000895e7000 - 00000000895e9fff 0000000000000003 0000000000000000 000000000000000f
BS_data    00000000895ea000 - 00000000895edfff 0000000000000004 0000000000000000 000000000000000f
BS_code    00000000895ee000 - 00000000895eefff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000895ef000 - 00000000895effff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000895f0000 - 00000000895f0fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000895f1000 - 000000008961afff 000000000000002a 0000000000000000 000000000000000f
BS_code    000000008961b000 - 0000000089627fff 000000000000000d 0000000000000000 000000000000000f
BS_data    0000000089628000 - 0000000089680fff 0000000000000059 0000000000000000 000000000000000f
BS_code    0000000089681000 - 000000008969ffff 000000000000001f 0000000000000000 000000000000000f
BS_data    00000000896a0000 - 00000000896a7fff 0000000000000008 0000000000000000 000000000000000f
BS_code    00000000896a8000 - 00000000896a9fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000896aa000 - 00000000896c4fff 000000000000001b 0000000000000000 000000000000000f
BS_code    00000000896c5000 - 00000000896c8fff 0000000000000004 0000000000000000 000000000000000f
BS_data    00000000896c9000 - 00000000896cbfff 0000000000000003 0000000000000000 000000000000000f
BS_code    00000000896cc000 - 00000000896ccfff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000896cd000 - 00000000896cefff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000896cf000 - 00000000896d0fff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000896d1000 - 00000000896d1fff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000896d2000 - 00000000896d4fff 0000000000000003 0000000000000000 000000000000000f
BS_data    00000000896d5000 - 00000000896dafff 0000000000000006 0000000000000000 000000000000000f
BS_code    00000000896db000 - 00000000896dbfff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000896dc000 - 00000000896dcfff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000896dd000 - 00000000896f5fff 0000000000000019 0000000000000000 000000000000000f
BS_code    0000000089565000 - 000000008956ffff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000089570000 - 0000000089570fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000089571000 - 0000000089571fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089572000 - 0000000089576fff 0000000000000005 0000000000000000 000000000000000f
BS_code    0000000089577000 - 0000000089581fff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000089582000 - 0000000089582fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000089583000 - 0000000089588fff 0000000000000006 0000000000000000 000000000000000f
BS_data    0000000089589000 - 0000000089589fff 0000000000000001 0000000000000000 000000000000000f
BS_code    000000008958a000 - 00000000895aafff 0000000000000021 0000000000000000 000000000000000f
BS_data    00000000895ab000 - 00000000895abfff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000895ac000 - 00000000895affff 0000000000000004 0000000000000000 000000000000000f
BS_data    00000000895b0000 - 00000000895b3fff 0000000000000004 0000000000000000 000000000000000f
BS_code    00000000895b4000 - 00000000895bcfff 0000000000000009 0000000000000000 000000000000000f
BS_data    00000000895bd000 - 00000000895c0fff 0000000000000004 0000000000000000 000000000000000f
BS_code    00000000895c1000 - 00000000895c1fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000895c2000 - 00000000895c3fff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000895c4000 - 00000000895c4fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000895c5000 - 00000000895c5fff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000895c6000 - 00000000895d3fff 000000000000000e 0000000000000000 000000000000000f
BS_data    00000000895d4000 - 00000000895d6fff 0000000000000003 0000000000000000 000000000000000f
BS_code    00000000895d7000 - 00000000895d9fff 0000000000000003 0000000000000000 000000000000000f
BS_data    00000000895da000 - 00000000895dafff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000895db000 - 00000000895e1fff 0000000000000007 0000000000000000 000000000000000f
BS_data    00000000896f6000 - 00000000896f7fff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000896f8000 - 00000000896f8fff 0000000000000001 0000000000000000 000000000000000f
BS_data    00000000896f9000 - 00000000896fbfff 0000000000000003 0000000000000000 000000000000000f
BS_code    00000000896fc000 - 00000000896fdfff 0000000000000002 0000000000000000 000000000000000f
BS_data    00000000896fe000 - 0000000089b20fff 0000000000000423 0000000000000000 000000000000000f
BS_code    0000000089b21000 - 0000000089b29fff 0000000000000009 0000000000000000 000000000000000f
BS_data    0000000089b2a000 - 0000000089b2afff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000089b2b000 - 0000000089b32fff 0000000000000008 0000000000000000 000000000000000f
BS_data    0000000089b33000 - 0000000089bd5fff 00000000000000a3 0000000000000000 000000000000000f
BS_code    0000000089bd6000 - 0000000089bdafff 0000000000000005 0000000000000000 000000000000000f
BS_data    0000000089bdb000 - 0000000089bdbfff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000089bdc000 - 0000000089bdcfff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089bdd000 - 0000000089bddfff 0000000000000001 0000000000000000 000000000000000f
